OrgName,COUNTY_NAME
Academy School,Windham
Addison Central School,Addison
Albany Community School,Orleans
Albert Bridge Sch (W Wind),Windsor
Albert D. Lawton School,Chittenden
Alburgh Community Education Center,Grand Isle
Arlington Memorial School,Bennington
Athens/Grafton Joint Contract School,Windham
Bakersfield School,Franklin
Barnard Academy,Windsor
Barnet Elementary School,Caledonia
Barre City Elementary/Middle School,Washington
Barre Town Elementary School,Washington
Barstow Memorial School,Rutland
Barton Graded School,Orleans
Beeman Elementary School,Addison
Bellows Falls Middle School,Windham
Bellows Falls UHS #27,Windham
Bellows Free Academy (Fairfax),Franklin
Bellows Free Academy High School (Fairfax),Franklin
Bellows Free Academy USD #48 (St Albans),Franklin
Bennington Elementary School,Bennington
Benson Village School,Rutland
Berkshire Elementary School,Franklin
Berlin Elementary School,Washington
Bethel Elementary School,Windsor
Bingham Memorial School,Addison
Black River US #39,Windsor
Blue Mountain US #21,Orange
Bradford Elementary School,Orange
Braintree School,Orange
Brattleboro Area Middle School #6,Windham
Brattleboro UHS #6,Windham
Brewster Pierce School,Chittenden
Bridgewater Village School,Windsor
Bridport Central School,Addison
Brighton Elementary School,Essex
Bristol Elementary School,Addison
Brookfield Elementary School,Orange
Brownington Central School,Orleans
Browns River Middle US #17,Chittenden
Burke Town School,Caledonia
Burlington Senior High School,Chittenden
C. P. Smith School,Chittenden
Cabot School,Washington
Calais Elementary School,Washington
Cambridge Elementary School,Lamoille
Camels Hump Middle US #17,Chittenden
Canaan Schools,Essex
Castleton Hubbardton US #42,Rutland
Cavendish Town Elementary School,Windsor
Central Elementary School,Windham
Chamberlin School,Chittenden
Champlain Elementary School,Chittenden
Champlain Valley UHS #15,Chittenden
Charleston Elementary School,Orleans
Charlotte Central School,Chittenden
Chelsea Elementary High School,Orange
Chester Andover US #29,Windsor
Clarendon Elementary School,Rutland
Colchester High School,Chittenden
Colchester Middle School,Chittenden
Concord Graded/High School,Essex
Coventry Village School,Orleans
Craftsbury Schools,Orleans
Crossett Brook Middle US #45,Washington
Currier Memorial US #23,Rutland
Danville School,Caledonia
Deerfield Valley Elementary School,Windham
Derby Elementary School,Orleans
Dorset School,Bennington
Dothan Brook School,Windsor
Doty Memorial School,Washington
Dover Elementary School,Windham
Dummerston Schools,Windham
E. Taylor Hatton School,Orleans
East Haven School,Essex
East Montpelier Elementary School,Washington
Eden Central School,Lamoille
Edmunds Elementary School,Chittenden
Edmunds Middle School,Chittenden
Elm Hill School,Windsor
Elmore School,Lamoille
Enosburg Elementary School,Franklin
Enosburg Middle/High School,Franklin
Essex Elementary School,Chittenden
Essex High School,Chittenden
Essex Middle School,Chittenden
Fair Haven Grade School,Rutland
Fair Haven UHS #16,Rutland
Fairfield Center School,Franklin
Fayston Elementary School,Washington
Ferrisburgh Central School,Addison
Fisher School,Bennington
Fletcher Elementary School,Franklin
Flood Brook US #20,Windsor
Folsom Education & Community Center,Grand Isle
Founders Memorial School,Chittenden
Franklin Elementary School,Franklin
Frederick H. Tuttle Middle School,Chittenden
Georgia Elementary/Middle School,Franklin
Glover Community School,Orleans
Grand Isle Elementary School,Grand Isle
Green Mountain UHS #35,Windsor
Green Street School,Windham
Guildhall Elementary School,Essex
Guilford Central School,Windham
Halifax School,Windham
Hardwick Elementary School,Caledonia
Hartford High School,Windsor
Hartford Memorial Middle School,Windsor
Hartland Elementary School,Windsor
Harwood UHS #19,Washington
Harwood Union Middle UHS #19,Washington
Hazen UHS #26,Caledonia
Hiawatha School,Chittenden
Highgate Elementary School,Franklin
Hinesburg Community School,Chittenden
Holland Elementary School,Orleans
Hyde Park Elementary School,Lamoille
Integrated Arts Academy at H.O. Wheeler,Chittenden
Irasburg Village School,Orleans
Isle La Motte Elementary School,Grand Isle
J. F. Kennedy Elementary School,Chittenden
J. J. Flynn School,Chittenden
Jamaica Village School,Windham
Jay/Westfield Joint School,Orleans
Jericho Elementary School,Chittenden
Johnson Elementary School,Lamoille
Killington Elementary School,Rutland
Lake Region UHS #24,Orleans
Lakeview US #43,Orleans
Lamoille UHS #18,Lamoille
Lamoille Union Middle School #18,Lamoille
Leicester Central School,Addison
Leland & Gray UHS #34,Windham
Lincoln Community School,Addison
Lothrop School,Rutland
Lowell Graded School,Orleans
Ludlow Elementary School,Windsor
Lunenburg/Gilman Schools,Essex
Lyman C. Hunt Middle School,Chittenden
Lyndon Town School,Caledonia
Main Street Middle School,Washington
Malletts Bay School,Chittenden
Manchester Elementary/Middle School,Bennington
Marion W. Cross School,Windsor
Marlboro Elementary School,Windham
Mettawee Community School US #47,Bennington
Middlebury ID #4 School,Addison
Middlebury Senior UHS #3,Addison
Middlebury Union Middle School #3,Addison
Middletown Springs Elementary School,Rutland
Mill River US #40,Rutland
Millers Run School US #37,Caledonia
Milton Elementary School,Chittenden
Milton High School,Chittenden
Milton Junior/Middle School,Chittenden
Missisquoi Valley UHS #7,Franklin
Molly Stark School,Bennington
Monkton Central School,Addison
Montgomery Center School,Franklin
Montpelier High School,Washington
Monument Elementary School,Bennington
Moretown Elementary School,Washington
Morristown Elementary Schools,Lamoille
Mt. Abraham UHS #28,Addison
Mt. Anthony Senior UHS #14,Bennington
Mt. Anthony Union Middle School,Bennington
Mt. Holly School,Rutland
Mt. Mansfield US #17,Chittenden
Neshobe School,Rutland
Newark School,Caledonia
Newbrook Elementary School,Windham
Newbury Elementary School,Orange
Newport City Elementary Schools,Orleans
Newport Town School,Orleans
Newton School,Orange
North Bennington Graded School,Bennington
North Country UHS #22A,Orleans
North Country Union Junior UHS #22B,Orleans
North Hero School,Grand Isle
Northeast Primary School,Rutland
Northfield Elementary School,Washington
Northfield Middle/High School,Washington
Northwest Primary School,Rutland
Oak Grove School,Windham
Orange Center School,Orange
Orchard School,Chittenden
Orleans Elementary School,Orleans
Orwell Village School,Addison
Ottauquechee School,Windsor
Otter Valley UHS #8,Rutland
Oxbow UHS #30,Orange
Peacham Elementary School,Caledonia
Peoples Academy,Lamoille
Peoples Academy Middle School,Lamoille
Pomfret School,Windsor
Porters Point School,Chittenden
Poultney Elementary School,Rutland
Poultney High School,Rutland
Pownal Elementary School,Bennington
Proctor Elementary School,Rutland
Proctor Junior/Senior High School,Rutland
Putney Central School,Windham
Randolph Elementary School,Orange
Randolph UHS #2,Orange
Reading Elementary School,Windsor
Readsboro Elementary School,Bennington
Richford Elementary School,Franklin
Richford Junior/Senior High School,Franklin
Richmond Elementary School,Chittenden
Rick Marcotte Central School,Chittenden
Ripton Elementary School,Addison
Rivendell Academy,Out-of-State
Riverside Middle School,Windsor
Robinson School,Addison
Rochester School,Windsor
Roxbury Village School,Washington
Rumney Memorial School,Washington
Rutland High School,Rutland
Rutland Intermediate School,Rutland
Rutland Middle School,Rutland
Rutland Town Elementary School,Rutland
Salisbury Community School,Addison
Samuel Morey Elementary School,Orange
Saxtons River Elementary School,Windham
Shaftsbury Elementary School,Bennington
Sharon Elementary School,Windsor
Shelburne Community School,Chittenden
Sheldon Elementary School,Franklin
Shoreham Elementary School,Addison
Shrewsbury Mountain School,Rutland
Smilie Memorial School,Chittenden
South Burlington High School,Chittenden
South Royalton Elem/High School,Windsor
Spaulding UHS #41,Washington
Springfield High School,Windsor
St Albans City School,Franklin
St. Albans Town Education Center,Franklin
St. Johnsbury Schools,Caledonia
Stamford Elementary School,Bennington
Stockbridge Central School,Windsor
Stowe Elementary School,Lamoille
Stowe Middle/High School,Lamoille
Sudbury Country School,Rutland
Summit Street School,Chittenden
Sunderland Elementary School,Bennington
Sustainability Academy At Barnes,Chittenden
Sutton School,Caledonia
Swanton Schools,Franklin
Thatcher Brook Primary US #45,Washington
Thetford Elementary School,Orange
Thomas Fleming School,Chittenden
Tinmouth Elementary School,Rutland
Townshend Village School,Windham
Troy School,Orleans
Tunbridge Central School,Orange
Twin Valley High School,Windham
Twin Valley Middle School,Windham
Twinfield US #33,Washington
U32 UHS #32,Washington
Underhill Central School,Chittenden
Underhill ID School,Chittenden
Union Elementary School,Washington
Union Memorial School,Chittenden
Union Street School,Windsor
Vergennes UES #44,Addison
Vergennes UHS #5,Addison
Vernon Elementary School,Windham
Waits River Valley USD #36,Orange
Waitsfield Elementary School,Washington
Walden School,Caledonia
Wallingford Village School,Rutland
Wardsboro Central School,Windham
Warren Elementary School,Washington
Washington Village School,Orange
Waterford Elementary School,Caledonia
Waterville Elementary School,Lamoille
Weathersfield School,Windsor
Wells Village School,Rutland
West Rutland School,Rutland
Westford Elementary School,Chittenden
Westminster Schools,Windham
Westshire School,Orange
Weybridge Elementary School,Addison
Whitcomb Jr/Sr High School,Windsor
White River School,Windsor
Whiting Village School,Addison
Whitingham Elementary School,Windham
Williamstown Elementary School,Orange
Williamstown Middle/High School,Orange
Williston Schools,Chittenden
Windham Elementary School,Windham
Windsor High School,Windsor
Windsor State Street School,Windsor
Winooski High School,Chittenden
Winooski Middle School,Chittenden
Wolcott Elementary School,Lamoille
Woodbury Elementary School,Washington
Woodford Hollow School,Bennington
Woodstock Elementary School,Windsor
Woodstock Senior UHS #4,Windsor
Woodstock Union Middle School,Windsor
